Name,Title/Credentials,Bio
"Jeanine Maguire","PhD, MPT, CWS — President","Dr. Jeanine Maguire is a highly accomplished physical therapist, licensed in Pennsylvania, and a board-certified wound specialist through the American Academy of Wound Management. Holding a PhD in Health Education and Promotion from Walden University, with a specialization in wound management, Dr. Maguire brings nearly three decades of clinical expertise to her practice. For the past 22 years, she has held leadership roles in wound management within the post-acute care sector. Dr. Maguire is an active contributor to the healthcare community, serving as a board member of the Eastern PA Geriatric Society, a committee member for the Coalition of At-Risk Skin, a planning committee member and speaker for the Symposium of Advanced Wound Care, and an ambassador for the American Academy of Wound Care. She is also a founding board member and the president of the Post-Acute Wound and Skin Integrity Council. Currently, Dr. Maguire serves as the Chief Clinical Delivery Officer at THP, where she continues her unwavering commitment to advancing patient-centered wound management through evidence-based care, innovation, technology, and alternative payment models."
"Sarah Holden-Mount","PT, CWS — President Elect","Ms. Holden-Mount is a physical therapist who has concentrated in the field of wound care since graduation from Northeastern University. Her clinical practice has been wound care focused across the healthcare continuum. The last twenty years Sarah has concentrated in the post-acute healthcare space. Sarah holds Diplomate status as a Certified Wound Care Specialist with the American Academy of Wound Management. Sarah served on the Board of Directors for National Pressure Injury Advisory Panel (NPIAP), 2015-2021, she Chaired the Public Policy Committee while serving on the board 2016-2020. She is also Trustee on the ABWM Foundation. Sarah is the current vice president elect for Post-Acute Wound & Skin Integrity Council, (PAWSIC) a 501C 6. Sarah has been an adjunct faculty at Northeastern University. She has also been a guest speaker for various organizations focusing on the area of wound care and management. Sarah is a licensed physical therapist and is a certified six sigma lean black belt in sales. Sarah currently is a consultant for clinical, sales and leadership strategies with Rock Advisors, LLC."
"Julie Rhodovi","MBA, CWCA, LBBH — Treasurer","Julie Rhodovi is an accomplished, senior executive level professional, with health care strategy development, revenue cycle, payor and government relations, and contract relations experience. She has a proven ability to implement strategies of change, improving process performance through variability and defect reduction, resulting in production of consistent and high-quality revenue streams. Her experience includes managing contract negotiations, field-based services, oversight of the cross-functional network service experience, and working with interdisciplinary management teams across the country to determine needed relations with payor organizations. Ms. Rhodovi designs and implements programs to build and nurture positive relationships with outside health plans and private revenue resources. She has worked in the post-acute care setting and the payor field for over 26 years, with direct experience in the building and launching of a Medicare Advantage plan. Ms. Rhodovi is a Certified Wound Care Associate (CWCA) with the American Board of Wound Management (ABWM) and past treasurer with the ABWM. She currently is on the Board of Directors of the Foundation for ABWM. As well, she is the founding treasurer of the Post-Acute Wound and Skin Integrity Council (PAWSIC) and a Board Member at Ginger Cove Continuum Care Retirement Community in Annapolis, MD. Ms. Rhodovi holds a master's in business administration with a concentration in health management and is a certified six sigma lean black belt in healthcare (LBBH). Currently, she is a consultant in the reimbursement strategy field with GHH Advisors, LLC."
"Jennifer Bierhup","RN, WCC, CCM, iRNPA, FACCWS — Secretary","Jennifer Bierhup is a distinguished wound care innovator and educator with nearly two decades of experience in wound care, transforming clinical practice in both acute and post-acute care settings. She holds advanced certifications, including Wound Care Certification (WCC) from the National Alliance of Wound Care and Ostomy (NAWCO) and Case Management Certification (CCM) from the Commission for Case Management Certification. A pioneer in wound care education, Jennifer is the creator of multiple nationally adopted frameworks that have elevated clinical standards across the industry. Her signature innovations include the comprehensive STEPP into Healing multidisciplinary education course and the 6 Rights of Wound Dressing Administration, a groundbreaking protocol now implemented in home health agencies and mobile wound care groups nationwide. She has also developed proprietary business methodologies for wound care case management that deliver measurably improved patient healing outcomes. As the founder and president of Jennifer Bierhup Consulting, LLC, she leads clinical education programs and operational strategy consulting for healthcare organizations, specializing in training and developing highly specialized wound care case managers. Her previous leadership roles include Director of Clinical Education for Tissue Health Plus and Executive Vice President of Clinical Delivery for Archangel of Mercy. Jennifer's commitment to advancing the profession extends to active leadership in multiple organizations, including the Ohio Council for Home Care and Hospice's Education Committee, the Society for Vascular Nursing's Planning Committee, and the Post-Acute Skin and Wound Integrity Council (PAWSIC). Through her work, she continues to champion innovative strategies that enhance clinical decision-making, improve patient outcomes, and establish new standards of excellence in wound care case management."
"Diane Krasner","PhD, RN, FAAN, FAAWC, MAPWCA — Past President","Diane L. Krasner PhD, RN, FAAN, FAAWC, MAPWCA is a board-certified wound care nurse (CWCN) with over thirty-five years of experience in wound, ostomy & incontinence care across the continuum of care. Diane currently serves as the Interim Past President for Post-Acute Wound and Skin Integrity Council (PAWSIC, 501 C 6). She is a Fellow of the American Academy of Nursing, a Fellow of the Association for the Advancement of Wound Care and a Master of the American Professional Wound Care Association. Dr. Krasner is a Wound & Skin Care Consultant, Educator and Expert Witness."
"Julie Britton","MSN, DNP, CGCNS-BC, RN-BC, FGNLA","Julie Britton has over 35 years experience in the post acute/long term care industry. Julie has her Doctor of Nursing Practice and is board certified as a Gerontological Clinical Nurse Specialist. Julie currently serves as the Senior VP Clinical Operations and Regulatory Compliance for Genesis HealthCare. Julie currently serves on AHCA Regulatory/Survey Committee, Chairperson for Pennsylvania Quality Committee, and a CE Reviewer for PSNA. Julie is also a member of several professional associations including NADONA, AADNS, Sigma Theta Tau."
"Scott Bolhack","MD, MBA, CMD, CWSP, FACP","Dr. Bolhack is board certified in internal medicine and hospice and palliative medicine with additional credentials as a Certified Wound Specialist Physician and a Certified Medical Director in long-term care. He has experience as a medical director for skilled nursing homes, assisted living facilities, hospices, home health agencies and wound centers. He has spoken on many topics nationally and has presented over 35 scientific posters in the areas of wound care, quality improvement, and post-hospital care."
"Tony Costa","RN, BSN, MBA","Tony is a Registered Nurse with over 20 years of experience in post-acute care. During his career, he has served in varying roles within skilled nursing centers and in corporate support roles. He has a passion for improving resident/patient outcomes within post-acute care, through the support and development of nursing practice."
"Clive Horrocks","DNP, RN, WCC, COCN","Clive Horrocks has been a Registered Nurse since 1992 and has worked in multiple nursing specialties in both acute and post acute care in the USA and UK. He became a wound care specialist in 2000 and is currently a Wound and Ostomy specialist at UI-Health Chicago. Clive additionally has an extensive background in risk management and patient safety and is passionate about the enhancement of skin health practices and health care equity in all care settings. He has been an active board member of the National Alliance of Wound Care and Ostomy (NAWCO) since 2016."
"Karen Kennedy-Evans","RN, APRN-BC, FNP","Karen Lou Kennedy-Evans was the first Family Nurse Practitioner in Fort Wayne, Indiana in 1974 where she worked at a 500 bed long term care facility, the Byron Health Center, for over 25 years. There she started one of the first skin and wound care teams in a long term care facility in the United States. Pressure ulcers/injuries were rounded on each week with photographs and data was collected. It was during this time the skin team noticed a particular skin presentation now known as the 'Kennedy Terminal Ulcer/Kennedy Lesion'. Karen is a board member of the Post-Acute Wound & Skin Integrity Council (PAWSIC), and she is a past board member of the NPUAP now known as the NPIAP (National Pressure Injury Advisory Panel). Karen presently resides in Tucson, Arizona and is a consultant in Skin and Wound Care."
